L,J_over_U,tau,k,delta_gamma,spearman_clip,spearman_signed,spearman_redist,pearson_clip,pearson_signed,pearson_redist,topk_overlap_clip,topk_overlap_signed,topk_overlap_redist,top1_match_clip,top1_match_signed
8,0.2,1,3,0.2,-0.7369886027879208,-0.39759036144578314,0.8024095954818835,-0.9539872678222749,-0.9406541340931374,0.9964878158844717,0.0,0.3333333333333333,0.6666666666666666,0,0
8,0.2,2,3,0.2,-0.7369886027879208,-0.3780768955200445,0.7784570702436183,-0.9539872678222749,-0.9595157768574119,0.9777264614599481,0.0,0.3333333333333333,0.6666666666666666,0,0
8,0.2,3,3,0.2,-0.7683498199278325,-0.3878859116524072,0.7545045450053531,-0.9539872678222749,-0.9071786758592253,0.8580500151210363,0.0,0.3333333333333333,0.6666666666666666,0,0
8,0.3,1,3,0.05,-0.7325886315065459,-0.7470421737034137,0.7619047619047621,-0.9339619060090698,-0.9946680137280597,0.9676660482979322,0.0,0.0,0.6666666666666666,0,0
8,0.3,2,3,0.05,,-0.7711403083390078,0.7857142857142858,,-0.9621121013031597,0.9093910095082003,0.0,0.0,0.6666666666666666,0,0
8,0.3,3,3,0.05,0.22830583024432846,0.4285714285714286,0.523809523809524,0.05494388718443512,0.578642163099808,0.38545638397665005,0.3333333333333333,0.3333333333333333,0.6666666666666666,0,0
8,0.3,1,3,0.1,-0.7559289460184545,-0.7637626158259734,0.7619047619047621,-0.9339619060090698,-0.9946885609798657,0.9675714957571491,0.0,0.0,0.6666666666666666,0,0
8,0.3,2,3,0.1,,-0.7637626158259734,0.7784570702436182,,-0.9642781337723252,0.9122530720644301,0.0,0.0,0.6666666666666666,0,0
8,0.3,3,3,0.1,-0.25197631533948484,0.4096682888050979,0.5476190476190477,-0.020672291485317476,0.44909063328021737,0.4296540021638981,0.0,0.3333333333333333,0.6666666666666666,0,0
8,0.3,1,3,0.2,-0.7637626158259734,-0.7380952380952381,0.7380952380952381,-0.9339619060090696,-0.9947280660336227,0.9673781765040813,0.0,0.0,0.6666666666666666,0,0
8,0.3,2,3,0.2,,-0.8024095954818835,0.7784570702436182,,-0.9678153431915384,0.9171325506141772,0.0,0.0,0.6666666666666666,0,0
8,0.3,3,3,0.2,-0.23380488239570615,0.4191691916696407,0.523809523809524,-0.020672291485317476,0.12388625070920875,0.5188832321226557,0.0,0.3333333333333333,0.6666666666666666,0,0
8,0.4,1,3,0.05,-0.7325886315065459,-0.9461247469114746,0.9761904761904763,-0.9112310419523199,-0.9872588982896431,0.9636954403721457,0.0,0.0,1.0,0,0
8,0.4,2,3,0.05,,-0.730552019767088,0.9523809523809524,,-0.8465993191802953,0.8759248658278677,0.0,0.0,0.6666666666666666,0,0
8,0.4,3,3,0.05,0.203596464525254,0.2142857142857143,0.5714285714285715,0.5955545619655935,0.8014096938225088,0.3516425624814243,0.0,0.0,0.6666666666666666,0,0
8,0.4,1,3,0.1,-0.7325886315065459,-0.9398272507881658,0.9523809523809524,-0.9112310419523199,-0.9872693759731441,0.9635547004932773,0.0,0.0,0.6666666666666666,0,0
8,0.4,2,3,0.1,,-0.9461247469114746,0.9285714285714287,,-0.8638254287206996,0.8821206301305095,0.0,0.0,0.6666666666666666,0,0
8,0.4,3,3,0.1,0.20609467411177057,0.21688321172034594,0.5868368683374969,0.47140283674401506,0.7720174380445362,0.35526108506979176,0.0,0.0,0.6666666666666666,0,0
8,0.4,1,3,0.2,-0.7559289460184545,-0.9819805060619659,0.9761904761904763,-0.9112310419523197,-0.9872925924620088,0.9632692587144349,0.0,0.0,1.0,0,0
8,0.4,2,3,0.2,,-0.9398272507881658,0.9285714285714287,,-0.888822376853937,0.8923539302502963,0.0,0.0,0.6666666666666666,0,0
8,0.4,3,3,0.2,0.20609467411177057,0.21688321172034594,0.5628843430992317,0.1453619351629716,0.6974531936935301,0.3663734469233974,0.0,0.0,0.6666666666666666,0,0
