L,J_over_U,tau,k,n_subsets,fi_val_clip,best_clip,worst_clip,median_clip,mean_clip,std_clip,percentile_clip,rank_clip,fi_val_signed,best_signed,worst_signed,median_signed,mean_signed,std_signed,percentile_signed,rank_signed,fi_val_abs,best_abs,worst_abs,median_abs,mean_abs,std_abs,percentile_abs,rank_abs,fi_val_redist,best_redist,worst_redist,median_redist,mean_redist,std_redist,percentile_redist,rank_redist
7,0.3,2,3,35,0.04793563303654835,0.04793563303654835,0.0007716324305754307,0.011387677094679916,0.017129061251062318,0.013374683982660576,100.0,1,0.04793563303654835,0.04793563303654835,-0.06232150944859666,-0.005956801494261754,-0.009724140221897604,0.028975071587232434,100.0,1,0.04793563303654835,0.0707734658128763,0.008865003636612245,0.03985572724586828,0.04398226272402224,0.0154793924402681,62.857142857142854,14,0.145136963636475,0.145136963636475,0.10240619673747703,0.12277416128209212,0.12406597590968249,0.010316867843499769,100.0,1
7,0.3,3,3,35,0.07628648687257916,0.07628648687257916,0.00034934403742326037,0.023880988254290747,0.029747956577699564,0.020594583232854145,100.0,1,0.07628648687257916,0.07628648687257916,-0.09400041425651201,-0.009851236850657419,-0.011467403808537065,0.04448093037547957,100.0,1,0.07628648687257916,0.11121573318275807,0.015625740579887193,0.06575816202053031,0.0709633169639362,0.02371304638141744,62.857142857142854,14,0.2278854990867611,0.2278854990867611,0.15010853226318532,0.18524939708582133,0.18928303863713886,0.018328104110165336,100.0,1
7,0.4,1,3,35,0.03722840530934335,0.03722840530934335,0.0,0.011096986475776227,0.01289586019972176,0.009396936778593934,100.0,1,0.03722840530934335,0.03722840530934335,-0.03690477143248516,-0.007516607233526595,-0.004747600800812056,0.01867930812315346,100.0,1,0.03722840530934335,0.050243505334666316,0.01398250955811664,0.029549228062965116,0.03053932120025558,0.009907070567164333,80.0,8,0.08459903492155274,0.08658693506577397,0.07380954286497021,0.08069166293419117,0.08069484372268684,0.0037540850194197413,85.71428571428571,6
7,0.4,2,3,35,0.07310856624027728,0.07310856624027728,0.0,0.016148192362199165,0.023745130501275857,0.0200007305202352,100.0,1,0.07310856624027728,0.07310856624027728,-0.07889075047511956,-0.014130315693421158,-0.012984746869325674,0.03870285386393659,100.0,1,0.07310856624027728,0.0957711245004706,0.022329239219386343,0.060693058952878576,0.06047500787187739,0.02002316492860943,74.28571428571429,10,0.18021010185944814,0.18589658453100205,0.1401731617890148,0.16246433073735445,0.16325691089404007,0.01264423684003204,88.57142857142857,5
7,0.4,3,3,35,0.10942850674265375,0.10942850674265375,0.004620193520602334,0.03789058340435725,0.042658088952202036,0.027312955622119606,100.0,1,0.10942850674265375,0.10942850674265375,-0.10985214081327849,-0.004352773988704539,-0.010438519190499521,0.05677791229487327,100.0,1,0.10942850674265375,0.14334875033783567,0.029608850322111968,0.0947399959804906,0.09575469709490361,0.029919584579862348,62.857142857142854,14,0.28096152929795515,0.28096152929795515,0.19591556895754014,0.23800686398496945,0.2407915078333683,0.0214029588170198,100.0,1
8,0.12,1,3,56,7.036381850400453e-05,0.006131678679265229,0.0,0.0028566976262258126,0.002283529777258147,0.0018087066123944797,21.428571428571427,45,-0.0009482257750131895,0.005848053792171903,-0.007260844394155752,-0.0003543453208131875,-0.0005033947465268822,0.0032967958039778205,39.285714285714285,36,0.0010889534120211986,0.008824595517619938,0.0010033325337599486,0.005221166369539509,0.005070454301043177,0.0019015279502566504,7.142857142857142,53,0.01656046217939039,0.016656253175871494,0.011878309347013394,0.014319962314338713,0.014461303164401541,0.0011533284647977742,96.42857142857143,3
8,0.12,2,3,56,0.0,0.011316373234345867,0.0,0.0047393905200424635,0.0041612264325070715,0.003214372561196449,21.428571428571427,56,-0.0032184240233981143,0.010919776052708552,-0.01621200974712783,-0.0019022063282315427,-0.0022364557547162075,0.006725299782047547,42.857142857142854,34,0.0032184240233981143,0.016861207686564905,0.002769404171400258,0.011575922903362318,0.010558908619730353,0.003633804797827279,7.142857142857142,54,0.039044387870236064,0.04021659794750326,0.023259011977640853,0.03243923410891869,0.031875780573837546,0.004557995528494566,94.64285714285714,4
8,0.12,3,3,56,0.0001257003990584593,0.01710868483864092,0.0,0.006913956058140602,0.006482513954975432,0.004842413846133967,21.428571428571427,45,-0.004387193460958838,0.01705632452611905,-0.025642136095954726,-0.003240761275402848,-0.003438468809927046,0.010624531924671922,46.42857142857143,31,0.004638594259075757,0.02618941729494423,0.0046067169412571385,0.01767820800312267,0.016403496719877907,0.005637630606043855,7.142857142857142,53,0.06349312981638694,0.06543784894463622,0.03804014046849247,0.0517619554432682,0.0512683009424869,0.00802911820056861,96.42857142857143,3
8,0.2,1,3,56,0.003958774838120127,0.012507446855998916,0.0,0.004862447415663329,0.004985466752783193,0.0031679457319100136,33.92857142857143,38,0.003958774838120127,0.012507446855998916,-0.017330330822749207,-0.002341694970870112,-0.001503874313737325,0.007691701458656222,73.21428571428571,16,0.003958774838120127,0.02116527728967632,0.002785168743223543,0.011531257443794851,0.011474807819303712,0.004306695956037581,5.357142857142857,54,0.038144868894239625,0.03917456445294054,0.03158030852041971,0.035152693955850856,0.03549727727027957,0.0018105660204508285,94.64285714285714,4
8,0.2,2,3,56,0.010376107669256118,0.022485132472161107,0.0,0.008049231250723599,0.008645085885320007,0.005937419777519881,67.85714285714286,20,0.010376107669256118,0.022485132472161107,-0.038100244460173904,-0.0056046440788669605,-0.005669410867008573,0.015586712554384598,85.71428571428571,10,0.010376107669256118,0.04009682987333457,0.007560236105715212,0.023838577862059313,0.022959582637648586,0.008275860438963669,10.714285714285714,52,0.07911916814253928,0.09021662517797485,0.060098985948482286,0.07333423523588559,0.07455752590891736,0.007795317031332799,76.78571428571429,14
8,0.2,3,3,56,0.021180713257464623,0.03499001627926379,0.0,0.014493552424421463,0.014520394728486626,0.009723438192801272,71.42857142857143,18,0.021180713257464623,0.03499001627926379,-0.05704165301065689,-0.004614268568706059,-0.006483638880499492,0.024001142898468348,85.71428571428571,10,0.021180713257464623,0.06214785009471546,0.013571684442844067,0.03656375830895431,0.03552442833747274,0.012434381596411368,17.857142857142858,48,0.12335192419867191,0.1381683115685881,0.0942178006624943,0.11181782208108601,0.11346354896822165,0.012350234567608512,76.78571428571429,14
