J_over_U,delta,tau,spread_ind,pct_endpointF,pcttot_endpointF,sp_endpointF,sptot_endpointF,pct_coh,pcttot_coh,sp_coh,sptot_coh,pct_cur,pcttot_cur,sp_cur,sptot_cur,pct_occ,pcttot_occ,sp_occ,sptot_occ
0.3,0.1,2,0.002507161195466401,20.0,100.0,-0.2743953449935969,0.9573348703109935,20.0,100.0,-0.26747843921922837,0.960490759014502,50.0,10.0,0.18787878787878787,-0.9272727272727272,20.0,100.0,-0.2727272727272727,0.9636363636363635
0.3,0.2,2,0.005096073476580986,10.0,90.0,-0.15244185832977605,0.9207488243118473,10.0,90.0,-0.1580554413568168,0.9240164263936983,50.0,10.0,0.11515151515151514,-0.8424242424242423,10.0,90.0,-0.1515151515151515,0.9272727272727272
0.3,0.5,2,0.01318230303844933,10.0,70.0,-0.13455720411449987,0.7744046403152623,10.0,70.0,-0.1402439024390244,0.7781190959104827,50.0,10.0,0.10942299786241164,-0.7454545454545454,10.0,70.0,-0.14589733048321551,0.7818181818181817
0.3,-0.2,2,0.004705039334940084,90.0,100.0,0.22630075237438613,0.8109906863144085,90.0,100.0,0.21951219512195125,0.8145934285312865,60.0,10.0,-0.13373921960961418,-0.7333333333333332,90.0,100.0,0.21884599572482327,0.8181818181818182
0.3,0.1,3,0.004837445879991154,20.0,100.0,-0.11620849446252263,0.9573348703109935,20.0,100.0,-0.11585365853658539,0.960490759014502,50.0,10.0,0.07294866524160776,-0.9272727272727272,20.0,100.0,-0.10942299786241164,0.9636363636363635
0.3,0.2,3,0.00986270230581382,10.0,90.0,-0.1158558123306298,0.9207488243118473,10.0,90.0,-0.12158110873601292,0.9240164263936983,50.0,10.0,0.07878787878787878,-0.8424242424242423,10.0,90.0,-0.11515151515151514,0.9272727272727272
0.3,0.5,3,0.025279452709509292,20.0,70.0,-0.12232473101318171,0.7744046403152623,20.0,70.0,-0.11585365853658539,0.7781190959104827,50.0,10.0,0.07294866524160776,-0.7454545454545454,20.0,70.0,-0.10942299786241164,0.7818181818181817
0.3,-0.2,3,0.008809292759728141,90.0,100.0,0.16463720699615814,0.8109906863144085,90.0,100.0,0.1580554413568168,0.8145934285312865,60.0,10.0,-0.11515151515151514,-0.7212121212121211,90.0,100.0,0.1515151515151515,0.8060606060606059
0.4,0.1,1,0.0013501256486436047,40.0,100.0,0.024316221747202587,0.9515151515151514,40.0,100.0,0.018405254345807757,0.9419356657192195,50.0,10.0,-0.10942299786241164,-0.9151515151515152,40.0,100.0,0.030487804878048787,0.960490759014502
0.4,0.2,1,0.002698070986387191,30.0,100.0,0.06666666666666665,0.960490759014502,30.0,100.0,0.06116465361813115,0.9632083107639392,50.0,10.0,-0.1515151515151515,-0.9240164263936982,30.0,100.0,0.06079055436800646,0.9573170731707318
