tau,J_over_U,overlap_fi_geo,C_S_burn,D_S,D_S_geo,off_sel_frac,pct_fi,pct_geo,pct_dopt,dopt_eq_fi,sp_Fi_drain,D_S_neg,setting,pattern,strength,realization
2,0.12,1.0,0.0054288317231667,0.1054254455436529,0.1054254455436529,0.5000000000000009,53.333333333333336,53.333333333333336,40.0,0,0.6,,disorder,rand,0.5,2
3,0.12,1.0,0.0054288317231667,0.1722793889399575,0.1722793889399575,0.5000000000000004,53.333333333333336,53.333333333333336,46.666666666666664,0,0.6,-0.1678150529943726,disorder,rand,0.5,2
1,0.2,0.5,0.0120259395173422,0.0565417714762863,0.0661712232316281,0.5503189192600318,40.0,60.0,100.0,0,0.8285714285714287,,disorder,rand,0.5,2
2,0.2,0.5,0.0120259395173422,0.1721203765032758,0.1797301815431788,0.5157806995910763,46.666666666666664,66.66666666666666,100.0,0,0.8285714285714287,,disorder,rand,0.5,2
3,0.2,0.5,0.0120259395173422,0.2958537401164256,0.2688140211214588,0.4999999999999999,66.66666666666666,60.0,100.0,0,0.8285714285714287,-0.1606132056498714,disorder,rand,0.5,2
1,0.3,0.0,0.0181526311162714,0.1791096031976116,0.1043662137307955,0.5000000000000001,100.0,66.66666666666666,100.0,1,1.0,,disorder,rand,0.5,2
2,0.3,0.0,0.0181526311162714,0.4871569862334599,0.2589601221176586,0.5,100.0,66.66666666666666,100.0,1,1.0,,disorder,rand,0.5,2
3,0.3,0.0,0.0181526311162714,0.6624240616907303,0.3344622574772812,0.4999999999999999,100.0,60.0,100.0,1,1.0,-0.3250239365300011,disorder,rand,0.5,2
1,0.4,0.0,0.0197783215376261,0.2389131785768268,0.1319681244744635,0.5000000000000003,100.0,66.66666666666666,100.0,1,1.0,,disorder,rand,0.5,2
2,0.4,0.0,0.0197783215376261,0.5581985058727075,0.2936585048063228,0.5000000000000001,100.0,60.0,100.0,1,1.0,,disorder,rand,0.5,2
3,0.4,0.0,0.0197783215376261,0.5884297199167872,0.3251884185929791,0.5000000000000002,100.0,53.333333333333336,100.0,1,0.942857142857143,-0.2166851076811977,disorder,rand,0.5,2
1,0.12,0.0,0.0046558753626265,0.0076188083085966,-0.0030193138730507,0.5771339958239798,26.666666666666668,6.666666666666667,100.0,0,0.7142857142857143,,disorder,rand,0.5,3
2,0.12,0.0,0.0046558753626265,0.0202254027627427,0.0073836051948375,0.5707837053851733,13.333333333333334,6.666666666666667,100.0,0,0.7142857142857143,,disorder,rand,0.5,3
3,0.12,0.0,0.0046558753626265,0.0362551012276218,0.0128610945208617,0.571420973855549,13.333333333333334,6.666666666666667,100.0,0,0.7142857142857143,0.0026645553693775,disorder,rand,0.5,3
1,0.2,0.0,0.0244451921712928,0.1112918453414916,0.0010405806911073,0.4999999999999998,100.0,6.666666666666667,26.666666666666668,0,0.8285714285714287,,disorder,rand,0.5,3
2,0.2,0.0,0.0244451921712928,0.3197145640855461,0.0341227125529269,0.5,100.0,6.666666666666667,26.666666666666668,0,0.8285714285714287,,disorder,rand,0.5,3
3,0.2,0.0,0.0244451921712928,0.5209118878549849,0.0514366273563105,0.5000000000000006,100.0,6.666666666666667,100.0,1,0.942857142857143,-0.3160795969460326,disorder,rand,0.5,3
1,0.3,0.0,0.0171829104375598,0.0547188844855298,0.0311472047859439,0.5851582178562332,26.666666666666668,6.666666666666667,26.666666666666668,1,0.942857142857143,,disorder,rand,0.5,3
2,0.3,0.0,0.0171829104375598,0.1529806358638143,0.1107757444088022,0.5602514878518138,26.666666666666668,13.333333333333334,26.666666666666668,1,0.942857142857143,,disorder,rand,0.5,3
3,0.3,0.0,0.0171829104375598,0.2488718519545436,0.1483586141209385,0.5545490538728365,26.666666666666668,6.666666666666667,26.666666666666668,1,1.0,-0.0873102723514797,disorder,rand,0.5,3
1,0.4,0.0,0.0181998521950787,0.0686897571559777,0.0707239349040423,0.5011254016139302,13.333333333333334,26.666666666666668,100.0,0,0.7142857142857143,,disorder,rand,0.5,3
2,0.4,0.0,0.0181998521950787,0.1748102035687839,0.1893530856655827,0.5000000000000001,13.333333333333334,20.0,13.333333333333334,1,0.942857142857143,,disorder,rand,0.5,3
3,0.4,0.0,0.0181998521950787,0.2604196420327308,0.225835947584603,0.5000000000000002,46.666666666666664,26.666666666666668,46.666666666666664,1,0.942857142857143,-0.1147055737300934,disorder,rand,0.5,3
1,0.12,0.5,-0.0031364992678214,0.0409387014567464,0.0157381050869386,0.5438565506218801,66.66666666666666,40.0,80.0,0,0.3714285714285715,,disorder,rand,0.5,4
2,0.12,0.5,-0.0031364992678214,0.1371350908956779,0.0572935141475303,0.5219310565402516,80.0,40.0,66.66666666666666,0,0.6571428571428573,,disorder,rand,0.5,4
3,0.12,0.5,-0.0031364992678214,0.2415742498360312,0.1062422349140022,0.5158100487041565,80.0,33.33333333333333,66.66666666666666,0,0.6571428571428573,-0.2488409322854924,disorder,rand,0.5,4
1,0.2,0.5,0.0302317548013415,0.0804639965818388,0.0348154283743648,0.5285934426317244,73.33333333333333,33.33333333333333,73.33333333333333,1,0.4857142857142857,,disorder,rand,0.5,4
2,0.2,0.5,0.0302317548013415,0.2247878907451324,0.1162095698109614,0.5150165895188077,66.66666666666666,20.0,66.66666666666666,1,0.6571428571428573,,disorder,rand,0.5,4
3,0.2,0.5,0.0302317548013415,0.3745111807288421,0.1975561774767695,0.5102970905956199,80.0,33.33333333333333,80.0,1,0.6571428571428573,-0.1853040700022435,disorder,rand,0.5,4
1,0.3,0.5,0.0328671866936587,0.1068920321981222,0.0684203562744453,0.5080633056367696,60.0,33.33333333333333,60.0,1,0.4285714285714286,,disorder,rand,0.5,4
2,0.3,0.5,0.0328671866936587,0.2927306236648279,0.1937035710084415,0.5053596629474372,60.0,26.666666666666668,60.0,1,0.7714285714285715,,disorder,rand,0.5,4
