tau,S_fi,S_geo,S_sd,overlap_fi_geo,overlap_fi_sd,pct_fi,pct_geo,pct_sd,sd_fi,sd_geo,sd_opt,on_signed,off_frac,sp_Fi_total,sp_Fi_diag,setting,pattern,strength,realization,J_over_U,D_S,C_S_burn
2,"(0, 2)","(2, 3)","(0, 2)",0.5,1.0,86.66666666666667,100.0,86.66666666666667,0.0741158196772384,0.0037734423508134,0.0741158196772384,-0.0636600054457933,0.6674829226214266,0.3142857142857143,0.4285714285714286,disorder,rand,0.5,9,0.4,0.0636600054457933,0.019141279097896934
3,"(0, 2)","(2, 3)","(0, 2)",0.5,1.0,93.33333333333331,100.0,93.33333333333331,0.214769839507003,0.098200600738319,0.214769839507003,-0.1325855484384459,0.6034707212728219,0.8285714285714287,0.6,disorder,rand,0.5,9,0.4,0.1325855484384459,0.019141279097896934
1,"(2, 3)","(2, 3)","(1, 3)",1.0,0.5,46.666666666666664,46.666666666666664,26.666666666666668,0.0002978410260329,0.0002978410260329,0.0031313820936235,0.0088446457318654,0.3746325243398444,0.8857142857142858,0.3142857142857143,disorder,rand,1.0,0,0.12,-0.0088446457318654,-0.007691971107027095
2,"(2, 3)","(2, 3)","(1, 3)",1.0,0.5,60.0,60.0,26.666666666666668,0.0010289918979949,0.0010289918979949,0.0107897079281354,0.0197122067602947,0.3738679076117451,-0.4857142857142857,0.5428571428571429,disorder,rand,1.0,0,0.12,-0.0197122067602947,-0.007691971107027095
3,"(2, 3)","(2, 3)","(1, 3)",1.0,0.5,46.666666666666664,46.666666666666664,26.666666666666668,0.0126005332243339,0.0126005332243339,0.0221084739848309,0.0315232370321729,0.3801234262313603,-0.1428571428571428,0.7142857142857143,disorder,rand,1.0,0,0.12,-0.0315232370321729,-0.007691971107027095
1,"(2, 3)","(2, 3)","(1, 4)",1.0,0.0,60.0,60.0,93.33333333333331,-0.0045353301389661,-0.0045353301389661,0.0052892002176407,0.004331415711467,0.4846097202225392,0.2571428571428572,0.4285714285714286,disorder,rand,1.0,0,0.2,-0.004331415711467,-0.0025518247204857313
2,"(2, 3)","(2, 3)","(1, 4)",1.0,0.0,46.666666666666664,46.666666666666664,100.0,-0.0115432196413101,-0.0115432196413101,0.0321666314841873,0.0094544579715678,0.4802148438207276,-0.1428571428571428,0.3714285714285715,disorder,rand,1.0,0,0.2,-0.0094544579715678,-0.0025518247204857313
3,"(2, 3)","(2, 3)","(1, 4)",1.0,0.0,40.0,40.0,100.0,0.0194299802524056,0.0194299802524056,0.0675747162811435,0.0126754302438816,0.4856598370601585,-0.4857142857142857,0.3714285714285715,disorder,rand,1.0,0,0.2,-0.0126754302438816,-0.0025518247204857313
1,"(2, 3)","(2, 3)","(1, 4)",1.0,0.0,93.33333333333331,93.33333333333331,73.33333333333333,-0.0137135834697132,-0.0137135834697132,0.0116838444839884,-0.0099382033111831,0.5726477730412639,0.942857142857143,-0.2,disorder,rand,1.0,0,0.3,0.0099382033111831,0.010868754135153372
2,"(2, 3)","(2, 3)","(1, 4)",1.0,0.0,86.66666666666667,86.66666666666667,93.33333333333331,-0.0229928977023463,-0.0229928977023463,0.0666627823337218,-0.023596202762531,0.5294782748913961,0.2571428571428572,0.4857142857142857,disorder,rand,1.0,0,0.3,0.023596202762531,0.010868754135153372
3,"(2, 3)","(2, 3)","(1, 4)",1.0,0.0,73.33333333333333,73.33333333333333,93.33333333333331,0.0435478401175071,0.0435478401175071,0.1491358815740306,-0.040981767348222,0.5554252506393794,0.1428571428571428,0.4857142857142857,disorder,rand,1.0,0,0.3,0.040981767348222,0.010868754135153372
1,"(2, 3)","(2, 3)","(1, 4)",1.0,0.0,93.33333333333331,93.33333333333331,60.0,-0.0218798473562886,-0.0218798473562886,0.016698801651529,-0.0223327786624155,0.5559100683710084,0.942857142857143,0.0285714285714285,disorder,rand,1.0,0,0.4,0.0223327786624155,0.02151978575071692
2,"(2, 3)","(2, 3)","(1, 4)",1.0,0.0,93.33333333333331,93.33333333333331,60.0,-0.0151679330148901,-0.0151679330148901,0.097722441521808,-0.0555873792614778,0.5394268806912232,0.2571428571428572,0.4285714285714286,disorder,rand,1.0,0,0.4,0.0555873792614778,0.02151978575071692
3,"(2, 3)","(2, 3)","(1, 4)",1.0,0.0,93.33333333333331,93.33333333333331,53.333333333333336,0.0730433331235513,0.0730433331235513,0.2038001538592559,-0.0870115592860338,0.5723012543321317,0.3714285714285715,0.4857142857142857,disorder,rand,1.0,0,0.4,0.0870115592860338,0.02151978575071692
1,"(3, 4)","(2, 3)","(2, 4)",0.5,0.5,73.33333333333333,66.66666666666666,20.0,-0.0013101777502305,-0.0015661438704765,0.0031663154482543,-0.0017039760810182,0.5815770708361298,0.4285714285714286,-0.0857142857142857,disorder,rand,1.0,1,0.12,0.0017039760810182,0.002337653090916079
2,"(3, 4)","(2, 3)","(2, 4)",0.5,0.5,80.0,66.66666666666666,20.0,-0.0039840137702501,-0.0049290376510574,0.0036190655265333,-0.0033065598818814,0.5796026032170554,0.6,-0.0857142857142857,disorder,rand,1.0,1,0.12,0.0033065598818814,0.002337653090916079
3,"(3, 4)","(2, 3)","(0, 4)",0.5,0.5,73.33333333333333,80.0,60.0,0.0011917396737648,-0.0068657622106216,0.0123284926086275,-0.0065030147640941,0.5745902782324074,-0.7714285714285715,0.5428571428571429,disorder,rand,1.0,1,0.12,0.0065030147640941,0.002337653090916079
1,"(3, 4)","(2, 3)","(1, 2)",0.5,0.0,60.0,53.333333333333336,20.0,-0.004096648907545,-0.0013149705912152,0.0002137353031531,-0.0029261846229461,0.6758784852538925,0.8857142857142858,-0.942857142857143,disorder,rand,1.0,1,0.2,0.0029261846229461,0.004127653176134581
2,"(3, 4)","(2, 3)","(0, 3)",0.5,0.5,60.0,53.333333333333336,100.0,-0.0105869225305288,-0.0034650580197537,0.007079720596842,-0.0062914544583235,0.6723735069660066,0.0857142857142857,-0.0857142857142857,disorder,rand,1.0,1,0.2,0.0062914544583235,0.004127653176134581
3,"(3, 4)","(2, 3)","(0, 3)",0.5,0.5,60.0,53.333333333333336,93.33333333333331,0.0096758154691395,0.0041890629729757,0.0511897700869967,-0.0131467884021082,0.6670246644783896,-0.4285714285714286,0.5428571428571429,disorder,rand,1.0,1,0.2,0.0131467884021082,0.004127653176134581
1,"(3, 4)","(2, 3)","(0, 5)",0.5,0.0,80.0,40.0,100.0,-0.0098366637732927,-0.0050691888573434,0.0024504716256512,-0.0076109426583625,0.7899566415591072,0.1428571428571428,-0.1428571428571428,disorder,rand,1.0,1,0.3,0.0076109426583625,0.008956405057209639
2,"(3, 4)","(2, 3)","(0, 3)",0.5,0.5,86.66666666666667,53.333333333333336,66.66666666666666,-0.0189318168409202,-0.0133283011789953,0.0224663364997895,-0.0180282834329449,0.7212314449136576,-0.0857142857142857,-0.0285714285714285,disorder,rand,1.0,1,0.3,0.0180282834329449,0.008956405057209639
3,"(3, 4)","(2, 3)","(0, 3)",0.5,0.5,93.33333333333331,73.33333333333333,60.0,0.0240913494769834,0.0084399760438758,0.0816968965517478,-0.0343859636028869,0.6456433535272907,-0.4857142857142857,0.6,disorder,rand,1.0,1,0.3,0.0343859636028869,0.008956405057209639
1,"(3, 4)","(2, 3)","(0, 5)",0.5,0.0,100.0,86.66666666666667,40.0,-0.0173239792949386,-0.0131050592711101,0.0054474657567121,-0.0181744398446536,0.5515793074970343,0.4857142857142857,-0.2,disorder,rand,1.0,1,0.4,0.0181744398446536,0.01929789567889898
2,"(3, 4)","(2, 3)","(0, 5)",0.5,0.0,100.0,93.33333333333331,60.0,-0.0203064477394909,-0.021372564895889,0.0283431201790618,-0.0430758772158497,0.5544816665750812,-0.1428571428571428,0.2571428571428572,disorder,rand,1.0,1,0.4,0.0430758772158497,0.01929789567889898
3,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,93.33333333333331,86.66666666666667,0.044806065743036,0.0220102021808821,0.1050728775114506,-0.0705782971291875,0.5631536462897057,-0.4285714285714286,0.7142857142857143,disorder,rand,1.0,1,0.4,0.0705782971291875,0.01929789567889898
1,"(4, 5)","(2, 3)","(1, 4)",0.0,0.5,46.666666666666664,93.33333333333331,40.0,-0.0002396414937588,-0.0021315502395372,0.0040698556403696,-0.00728037892915,0.7529676939062157,0.942857142857143,-0.0857142857142857,disorder,rand,1.0,2,0.12,0.00728037892915,0.006764517340072482
2,"(4, 5)","(2, 3)","(2, 4)",0.0,0.5,46.666666666666664,93.33333333333331,73.33333333333333,0.0022991937264027,-0.0072792421037853,0.016300116773289,-0.0177423380111695,0.8066566320458047,0.6571428571428573,0.3142857142857143,disorder,rand,1.0,2,0.12,0.0177423380111695,0.006764517340072482
3,"(4, 5)","(2, 3)","(2, 4)",0.0,0.5,46.666666666666664,93.33333333333331,73.33333333333333,0.0077263324787268,-0.007239519854735,0.0374077278417661,-0.0316086738093558,0.7875981444020728,0.0857142857142857,0.6,disorder,rand,1.0,2,0.12,0.0316086738093558,0.006764517340072482
1,"(4, 5)","(2, 3)","(0, 4)",0.0,0.5,66.66666666666666,86.66666666666667,53.333333333333336,-0.0012301096117905,-0.0061101666940632,0.0035647779958689,-0.0141926884849016,0.7797968298066743,0.6,0.1428571428571428,disorder,rand,1.0,2,0.2,0.0141926884849016,0.013144525136596858
2,"(4, 5)","(2, 3)","(2, 4)",0.0,0.5,66.66666666666666,86.66666666666667,100.0,-0.0003801247949142,-0.0196045397108463,0.0287479803298329,-0.0337122723308802,0.7275260633529729,0.2,0.2,disorder,rand,1.0,2,0.2,0.0337122723308802,0.013144525136596858
