tau,S_fi,S_geo,S_sd,overlap_fi_geo,overlap_fi_sd,pct_fi,pct_geo,pct_sd,sd_fi,sd_geo,sd_opt,on_signed,off_frac,sp_Fi_total,sp_Fi_diag,setting,pattern,strength,J_over_U,D_S,C_S_burn
1,"(0, 1)","(2, 3)","(4, 5)",0.0,0.0,100.0,40.0,26.666666666666668,-0.0138581519972469,-0.0117062874075074,0.0049136289881262,-0.0447064295241937,0.562429143245643,0.8285714285714287,-0.8285714285714287,tilt,tilt,1.0,0.4,0.0447064295241937,0.040965718613345165
2,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,40.0,66.66666666666666,-0.0012827721181585,-0.0241280956007283,0.0112933517685329,-0.1041713510913801,0.5555864196207277,0.6,-0.4285714285714286,tilt,tilt,1.0,0.4,0.1041713510913801,0.040965718613345165
3,"(0, 1)","(2, 3)","(1, 2)",0.0,0.5,100.0,40.0,93.33333333333331,0.0718541786778526,0.0038787541554013,0.083345086128137,-0.1703238572737317,0.5591776997949804,0.942857142857143,0.7714285714285715,tilt,tilt,1.0,0.4,0.1703238572737317,0.040965718613345165
1,"(0, 1)","(2, 3)","(2, 3)",0.0,0.0,100.0,40.0,40.0,-0.0014491515604198,0.000809626627371,0.000809626627371,-0.0116835317223913,0.499999999999979,1.0,-0.4857142857142857,tilt,tilt,2.0,0.12,0.0116835317223913,0.011391364136792823
2,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,40.0,86.66666666666667,-0.0009871532697713,-0.0026424418824516,0.0061693826604008,-0.0258740548426468,0.5000000000000089,1.0,-0.4285714285714286,tilt,tilt,2.0,0.12,0.0258740548426468,0.011391364136792823
3,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,40.0,93.33333333333331,0.0067827195125746,-0.0137102946737216,0.0310839324470616,-0.0428571219276596,0.4999999999999991,1.0,-0.4285714285714286,tilt,tilt,2.0,0.12,0.0428571219276596,0.011391364136792823
1,"(0, 1)","(2, 3)","(0, 2)",0.0,0.5,100.0,40.0,46.666666666666664,-0.0046922197856891,0.0016540931252531,0.0019190532941643,-0.0289932622566024,0.4999999999999994,0.942857142857143,0.0285714285714285,tilt,tilt,2.0,0.2,0.0289932622566024,0.029964223367858797
2,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,40.0,86.66666666666667,-0.0053056786365135,-0.0076815413518813,0.0107078355262438,-0.0603844727353888,0.5000000000000021,0.942857142857143,-0.4285714285714286,tilt,tilt,2.0,0.2,0.0603844727353888,0.029964223367858797
3,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,40.0,86.66666666666667,0.01717471568772,-0.031665477945981,0.0510066986604913,-0.0953820912919043,0.4999999999999983,0.8285714285714287,-0.4285714285714286,tilt,tilt,2.0,0.2,0.0953820912919043,0.029964223367858797
1,"(0, 1)","(2, 3)","(0, 3)",0.0,0.5,100.0,40.0,53.333333333333336,-0.0063123087619432,-0.0016544510257603,0.0039663016717862,-0.0401583155270229,0.5000000000000033,0.942857142857143,-0.2,tilt,tilt,2.0,0.3,0.0401583155270229,0.042540761688388426
2,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,40.0,66.66666666666666,0.0040877241994896,-0.0224976359003865,0.0240310049219898,-0.0856564234887624,0.5000000000000032,0.7714285714285715,-0.4285714285714286,tilt,tilt,2.0,0.3,0.0856564234887624,0.042540761688388426
3,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,40.0,66.66666666666666,0.0628766388349677,-0.0501784004914401,0.0786618718324716,-0.1375104908692632,0.4999999999999986,0.8285714285714287,-0.3142857142857143,tilt,tilt,2.0,0.3,0.1375104908692632,0.042540761688388426
1,"(0, 1)","(2, 3)","(0, 4)",0.0,0.5,100.0,40.0,60.0,-0.0063874841035371,-0.0075619542366454,0.0059207338951626,-0.0466404400921932,0.499999999999999,0.8285714285714287,-0.3714285714285715,tilt,tilt,2.0,0.4,0.0466404400921932,0.04963595497501119
2,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,40.0,66.66666666666666,0.0259626540873836,-0.0351351973844757,0.0283865796687153,-0.1066048389669968,0.4999999999999988,0.7714285714285715,-0.1428571428571428,tilt,tilt,2.0,0.4,0.1066048389669968,0.04963595497501119
3,"(0, 1)","(2, 3)","(0, 1)",0.0,1.0,100.0,40.0,100.0,0.1181919676668086,-0.0509522505027593,0.1181919676668086,-0.1781326354837736,0.4999999999999995,0.8285714285714287,0.3714285714285715,tilt,tilt,2.0,0.4,0.1781326354837736,0.04963595497501119
1,"(3, 4)","(2, 3)","(1, 3)",0.5,0.5,100.0,86.66666666666667,53.333333333333336,-0.0003223071701596,0.0001441233299696,0.0014348403215503,-0.0055411639747883,0.4999999999999778,0.8285714285714287,-0.1428571428571428,tilt,step,0.5,0.12,0.0055411639747883,0.005074351035057751
2,"(3, 4)","(2, 3)","(1, 3)",0.5,0.5,100.0,93.33333333333331,80.0,0.0037691754968383,9.726397835217726e-05,0.0101153398708807,-0.0152911330120404,0.4999999999999999,0.7142857142857143,0.0285714285714285,tilt,step,0.5,0.12,0.0152911330120404,0.005074351035057751
3,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,93.33333333333331,73.33333333333333,0.0174977850755331,0.0013942373276679,0.0286583457470102,-0.0298685535025077,0.499999999999993,0.7142857142857143,0.1428571428571428,tilt,step,0.5,0.12,0.0298685535025077,0.005074351035057751
1,"(3, 4)","(2, 3)","(1, 3)",0.5,0.5,100.0,60.0,46.666666666666664,-0.0031568871557818,-0.0005040725541237,0.0030843439518481,-0.0152707528093285,0.5770415287924325,0.7714285714285715,-0.3142857142857143,tilt,step,0.5,0.2,0.0152707528093285,0.013293970906078248
2,"(3, 4)","(2, 3)","(1, 3)",0.5,0.5,100.0,86.66666666666667,53.333333333333336,0.0034187491486104,-0.0032665977438764,0.0214485881803501,-0.0418487089027765,0.5066938445458075,0.6,-0.1428571428571428,tilt,step,0.5,0.2,0.0418487089027765,0.013293970906078248
3,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,86.66666666666667,46.666666666666664,0.0443131239179028,-0.00186499908082,0.0564888173762434,-0.0787596581797445,0.4999999999999971,0.6,0.1428571428571428,tilt,step,0.5,0.2,0.0787596581797445,0.013293970906078248
1,"(3, 4)","(2, 3)","(0, 3)",0.5,0.5,100.0,66.66666666666666,60.0,-0.0083846957816735,-0.0039466476983235,0.0055153390411666,-0.0326372781112319,0.544393373756282,0.7714285714285715,-0.3714285714285715,tilt,step,0.5,0.3,0.0326372781112319,0.02768354077201489
2,"(3, 4)","(2, 3)","(0, 3)",0.5,0.5,100.0,66.66666666666666,60.0,0.0108953034391179,-0.0176156916524983,0.0342300147784511,-0.0859875254840543,0.5000000000000011,0.6,-0.2,tilt,step,0.5,0.3,0.0859875254840543,0.02768354077201489
3,"(3, 4)","(2, 3)","(3, 4)",0.5,1.0,100.0,86.66666666666667,100.0,0.1058223666503854,-0.0072405345342574,0.1058223666503854,-0.1519270972244965,0.4999999999999994,0.7142857142857143,0.7142857142857143,tilt,step,0.5,0.3,0.1519270972244965,0.02768354077201489
1,"(3, 4)","(2, 3)","(0, 1)",0.5,0.0,100.0,66.66666666666666,20.0,-0.0132538240804425,-0.0122802368392122,0.0072352051954042,-0.0529473026831985,0.5308248462590991,0.7714285714285715,-0.7714285714285715,tilt,step,0.5,0.4,0.0529473026831985,0.04740369350788218
2,"(3, 4)","(2, 3)","(0, 3)",0.5,0.5,100.0,86.66666666666667,80.0,0.032899683082751,-0.0261013481169114,0.0502756522364988,-0.1339209217369228,0.5000000000000004,0.4857142857142857,0.2571428571428572,tilt,step,0.5,0.4,0.1339209217369228,0.04740369350788218
3,"(3, 4)","(2, 3)","(3, 4)",0.5,1.0,100.0,93.33333333333331,100.0,0.1649618053720691,0.0188425104188294,0.1649618053720691,-0.2212462413625809,0.4999999999999986,0.7142857142857143,0.7142857142857143,tilt,step,0.5,0.4,0.2212462413625809,0.04740369350788218
1,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,93.33333333333331,46.666666666666664,0.0006152307275275,0.0001052806550212,0.0018532550966576,-0.0021476688680666,0.4999999999997801,0.7142857142857143,0.1428571428571428,tilt,step,1.0,0.12,0.0021476688680666,0.0015295663907818494
2,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,93.33333333333331,46.666666666666664,0.0039168835813763,0.0011775371941652,0.009738574983984,-0.0074485266795328,0.4999999999999957,0.7142857142857143,0.1428571428571428,tilt,step,1.0,0.12,0.0074485266795328,0.0015295663907818494
3,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,66.66666666666666,46.666666666666664,0.008969961602292,0.0059200977943245,0.0222526606346773,-0.0148084452507918,0.499999999999985,0.7142857142857143,0.1428571428571428,tilt,step,1.0,0.12,0.0148084452507918,0.0015295663907818494
1,"(3, 4)","(2, 3)","(1, 3)",0.5,0.5,100.0,86.66666666666667,73.33333333333333,0.0003810362247669,-5.6900627161057815e-05,0.0046169508373153,-0.0051734942198119,0.57899270340541,0.7142857142857143,-0.1428571428571428,tilt,step,1.0,0.2,0.0051734942198119,0.0013000061393922996
2,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,86.66666666666667,46.666666666666664,0.0102866952437075,0.0039888827297961,0.0258856600060009,-0.0233215645828598,0.5000000000000089,0.7142857142857143,0.1428571428571428,tilt,step,1.0,0.2,0.0233215645828598,0.0013000061393922996
