tau,S_fi,S_geo,S_sd,overlap_fi_geo,overlap_fi_sd,pct_fi,pct_geo,pct_sd,sd_fi,sd_geo,sd_opt,on_signed,off_frac,sp_Fi_total,sp_Fi_diag,setting,pattern,strength,realization,J_over_U
3,"(2, 3)","(2, 3)","(1, 4)",1.0,0.0,46.666666666666664,46.666666666666664,93.33333333333333,-0.06668820592681146,-0.06668820592681146,0.07474529253071571,-0.007478116789145006,0.8753857976466021,0.6571428571428573,-0.6,disorder,rand,0.5,2,0.12
1,"(3, 4)","(2, 3)","(1, 4)",0.5,0.5,93.33333333333333,40.0,100.0,-0.0023296519857685105,-0.014154419397671147,0.010550782889242605,-0.012683899486265193,0.7345486720655234,0.6571428571428573,-0.14285714285714288,disorder,rand,0.5,2,0.2
2,"(3, 4)","(2, 3)","(1, 4)",0.5,0.5,86.66666666666667,40.0,100.0,-0.005339764952313475,-0.06543518013623018,0.0642192019090615,-0.03268767016626739,0.6528213155762564,0.6571428571428573,-0.08571428571428573,disorder,rand,0.5,2,0.2
3,"(3, 4)","(2, 3)","(1, 4)",0.5,0.5,86.66666666666667,40.0,100.0,-0.00505279683288673,-0.1293156700475534,0.14821144473023073,-0.05949341877367109,0.6104059235230419,0.6571428571428573,-0.08571428571428573,disorder,rand,0.5,2,0.2
1,"(1, 4)","(2, 3)","(1, 4)",0.0,1.0,100.0,40.0,100.0,0.018279326653581895,-0.02659445385055359,0.018279326653581895,-0.025296845876899732,0.641749193967264,0.5428571428571429,0.4285714285714286,disorder,rand,0.5,2,0.3
2,"(1, 4)","(2, 3)","(1, 4)",0.0,1.0,100.0,40.0,100.0,0.10308247008345095,-0.10353287459129779,0.10308247008345095,-0.08052969304279578,0.5406496164533302,0.48571428571428577,0.3714285714285715,disorder,rand,0.5,2,0.3
3,"(1, 4)","(2, 3)","(1, 4)",0.0,1.0,100.0,40.0,100.0,0.2347899544592269,-0.16957336333453588,0.2347899544592269,-0.1549560658705178,0.5099492072195951,0.6,0.4285714285714286,disorder,rand,0.5,2,0.3
1,"(1, 4)","(2, 3)","(1, 4)",0.0,1.0,100.0,40.0,100.0,0.023109345664352743,-0.037426603698433314,0.023109345664352743,-0.0366092575028234,0.5716636272215799,0.14285714285714288,0.4285714285714286,disorder,rand,0.5,2,0.4
2,"(1, 4)","(2, 3)","(1, 4)",0.0,1.0,100.0,40.0,100.0,0.12686329069511948,-0.11673442983531568,0.12686329069511948,-0.11280762554834989,0.5000000000000008,0.3714285714285715,0.4285714285714286,disorder,rand,0.5,2,0.4
3,"(1, 4)","(2, 3)","(1, 4)",0.0,1.0,100.0,40.0,100.0,0.2955502458530901,-0.15526987120938696,0.2955502458530901,-0.19645344027615796,0.5000000000000001,0.8285714285714287,0.8857142857142858,disorder,rand,0.5,2,0.4
