tau,J_over_U,overlap_fi_geo,C_S_burn,D_S,D_S_geo,off_sel_frac,pct_fi,pct_geo,pct_dopt,dopt_eq_fi,sp_Fi_drain,D_S_neg,setting,pattern,strength
3,0.4,0.0,0.04963595497501119,0.3817846236606772,0.09931690757533887,0.5000000000000008,100.0,26.666666666666668,100.0,1,0.942857142857143,-0.04973490471714914,tilt,tilt,2.0
1,0.12,0.5,0.005074351035057751,0.033855603257062494,0.020366110448666024,0.5000000000000071,73.33333333333333,40.0,73.33333333333333,1,0.942857142857143,,tilt,step,0.5
2,0.12,0.5,0.005074351035057751,0.10068877955501754,0.06372305267672553,0.5000000000000014,73.33333333333333,40.0,73.33333333333333,1,0.942857142857143,,tilt,step,0.5
3,0.12,0.5,0.005074351035057751,0.1662688274849784,0.10240248477292901,0.5000000000000002,73.33333333333333,46.666666666666664,73.33333333333333,1,0.942857142857143,-0.10218058561994137,tilt,step,0.5
1,0.2,0.5,0.013293970906078248,0.07811859040635716,0.04435484377292363,0.5000000000000009,73.33333333333333,40.0,73.33333333333333,1,0.942857142857143,,tilt,step,0.5
2,0.2,0.5,0.013293970906078248,0.22347807106880657,0.13386365237095632,0.5000000000000002,73.33333333333333,40.0,73.33333333333333,1,0.942857142857143,,tilt,step,0.5
3,0.2,0.5,0.013293970906078248,0.3489125732739563,0.206172224596592,0.5000000000000004,93.33333333333333,40.0,93.33333333333333,1,0.942857142857143,-0.20126491204664576,tilt,step,0.5
1,0.3,0.5,0.02768354077201489,0.1355126106896265,0.0717177927459205,0.4999999999999996,73.33333333333333,40.0,73.33333333333333,1,1.0,,tilt,step,0.5
2,0.3,0.5,0.02768354077201489,0.3596296482215109,0.20861540390369565,0.5000000000000001,86.66666666666667,40.0,86.66666666666667,1,1.0,,tilt,step,0.5
3,0.3,0.5,0.02768354077201489,0.5106512479146796,0.3062744218723744,0.5000000000000001,100.0,46.666666666666664,100.0,1,1.0,-0.2531232501814451,tilt,step,0.5
1,0.4,0.5,0.04740369350788218,0.19065382807220443,0.11343294819891656,0.4999999999999997,73.33333333333333,40.0,73.33333333333333,1,1.0,,tilt,step,0.5
2,0.4,0.5,0.04740369350788218,0.4614194497786309,0.28833561906824234,0.4999999999999998,100.0,40.0,100.0,1,1.0,,tilt,step,0.5
3,0.4,0.5,0.04740369350788218,0.5803659449462647,0.3802039067138894,0.4999999999999997,100.0,80.0,100.0,1,0.942857142857143,-0.2302378054807841,tilt,step,0.5
1,0.12,0.5,0.0015295663907818494,0.026884185823485618,0.021513615815429703,0.49999999999999195,73.33333333333333,40.0,73.33333333333333,1,0.942857142857143,,tilt,step,1.0
2,0.12,0.5,0.0015295663907818494,0.07808316996517684,0.06467701691316105,0.499999999999995,73.33333333333333,40.0,73.33333333333333,1,0.942857142857143,,tilt,step,1.0
3,0.12,0.5,0.0015295663907818494,0.11969007088904648,0.10180906413786833,0.4999999999999993,73.33333333333333,46.666666666666664,73.33333333333333,1,0.942857142857143,-0.10232488781980487,tilt,step,1.0
1,0.2,0.5,0.0013000061393922996,0.0607704228086966,0.047405266255733366,0.49999999999999833,73.33333333333333,26.666666666666668,73.33333333333333,1,0.942857142857143,,tilt,step,1.0
2,0.2,0.5,0.0013000061393922996,0.17383545553679014,0.13446218511342387,0.4999999999999991,73.33333333333333,26.666666666666668,73.33333333333333,1,0.942857142857143,,tilt,step,1.0
3,0.2,0.5,0.0013000061393922996,0.25089819385536216,0.19964871559355493,0.49999999999999933,73.33333333333333,26.666666666666668,73.33333333333333,1,0.942857142857143,-0.1991042743984638,tilt,step,1.0
1,0.3,0.0,0.01499304016458631,0.09709401362523129,0.06979148108410155,0.4846790290004417,66.66666666666666,40.0,73.33333333333333,0,0.942857142857143,,tilt,step,1.0
2,0.3,0.0,0.01499304016458631,0.2405905639199365,0.19441345128455467,0.5000000000000001,66.66666666666666,46.666666666666664,73.33333333333333,0,0.942857142857143,,tilt,step,1.0
3,0.3,0.0,0.01499304016458631,0.32374372634226545,0.27864231322075295,0.5000000000000009,66.66666666666666,46.666666666666664,86.66666666666667,0,0.942857142857143,-0.2528142197862395,tilt,step,1.0
1,0.4,0.0,0.030030226662177584,0.1281820584472797,0.10221476827352811,0.48579063466684547,66.66666666666666,46.666666666666664,73.33333333333333,0,0.942857142857143,,tilt,step,1.0
2,0.4,0.0,0.030030226662177584,0.2890435668673428,0.26458598303660824,0.49999999999999845,66.66666666666666,46.666666666666664,80.0,0,0.942857142857143,,tilt,step,1.0
