tau,S_fi,S_geo,S_sd,overlap_fi_geo,overlap_fi_sd,pct_fi,pct_geo,pct_sd,sd_fi,sd_geo,sd_opt,on_signed,off_frac,sp_Fi_total,sp_Fi_diag,setting,pattern,strength,J_over_U
3,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,40.0,93.33333333333333,0.0067827195125746975,-0.013710294673721637,0.031083932447061643,-0.04285712192765967,0.49999999999999917,1.0,-0.4285714285714286,tilt,tilt,2.0,0.12
1,"(0, 1)","(2, 3)","(0, 2)",0.0,0.5,100.0,40.0,46.666666666666664,-0.004692219785689122,0.0016540931252531296,0.001919053294164308,-0.02899326225660248,0.4999999999999994,0.942857142857143,0.028571428571428574,tilt,tilt,2.0,0.2
2,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,40.0,86.66666666666667,-0.005305678636513544,-0.0076815413518813505,0.010707835526243891,-0.06038447273538883,0.5000000000000021,0.942857142857143,-0.4285714285714286,tilt,tilt,2.0,0.2
3,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,40.0,86.66666666666667,0.01717471568772,-0.03166547794598105,0.05100669866049133,-0.09538209129190434,0.49999999999999833,0.8285714285714287,-0.4285714285714286,tilt,tilt,2.0,0.2
1,"(0, 1)","(2, 3)","(0, 3)",0.0,0.5,100.0,40.0,53.333333333333336,-0.0063123087619432194,-0.0016544510257603118,0.003966301671786271,-0.04015831552702298,0.5000000000000033,0.942857142857143,-0.2,tilt,tilt,2.0,0.3
2,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,40.0,66.66666666666666,0.004087724199489662,-0.022497635900386587,0.02403100492198984,-0.08565642348876246,0.5000000000000032,0.7714285714285715,-0.4285714285714286,tilt,tilt,2.0,0.3
3,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,40.0,66.66666666666666,0.06287663883496775,-0.05017840049144018,0.07866187183247163,-0.13751049086926326,0.4999999999999986,0.8285714285714287,-0.3142857142857143,tilt,tilt,2.0,0.3
1,"(0, 1)","(2, 3)","(0, 4)",0.0,0.5,100.0,40.0,60.0,-0.006387484103537178,-0.007561954236645491,0.00592073389516265,-0.04664044009219326,0.49999999999999906,0.8285714285714287,-0.3714285714285715,tilt,tilt,2.0,0.4
2,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,40.0,66.66666666666666,0.02596265408738363,-0.035135197384475736,0.028386579668715356,-0.1066048389669968,0.49999999999999883,0.7714285714285715,-0.14285714285714288,tilt,tilt,2.0,0.4
3,"(0, 1)","(2, 3)","(0, 1)",0.0,1.0,100.0,40.0,100.0,0.11819196766680862,-0.05095225050275931,0.11819196766680862,-0.17813263548377367,0.49999999999999956,0.8285714285714287,0.3714285714285715,tilt,tilt,2.0,0.4
1,"(3, 4)","(2, 3)","(1, 3)",0.5,0.5,100.0,86.66666666666667,53.333333333333336,-0.0003223071701596858,0.00014412332996968646,0.0014348403215503876,-0.005541163974788321,0.4999999999999778,0.8285714285714287,-0.14285714285714288,tilt,step,0.5,0.12
2,"(3, 4)","(2, 3)","(1, 3)",0.5,0.5,100.0,93.33333333333333,80.0,0.003769175496838306,9.726397835217726e-05,0.010115339870880721,-0.015291133012040437,0.49999999999999994,0.7142857142857143,0.028571428571428574,tilt,step,0.5,0.12
3,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,93.33333333333333,73.33333333333333,0.017497785075533123,0.0013942373276679132,0.028658345747010205,-0.029868553502507722,0.499999999999993,0.7142857142857143,0.14285714285714288,tilt,step,0.5,0.12
1,"(3, 4)","(2, 3)","(1, 3)",0.5,0.5,100.0,60.0,46.666666666666664,-0.0031568871557818845,-0.0005040725541237412,0.0030843439518481175,-0.015270752809328547,0.5770415287924325,0.7714285714285715,-0.3142857142857143,tilt,step,0.5,0.2
2,"(3, 4)","(2, 3)","(1, 3)",0.5,0.5,100.0,86.66666666666667,53.333333333333336,0.0034187491486104005,-0.0032665977438764426,0.021448588180350142,-0.04184870890277659,0.5066938445458075,0.6,-0.14285714285714288,tilt,step,0.5,0.2
3,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,86.66666666666667,46.666666666666664,0.044313123917902875,-0.0018649990808200512,0.05648881737624345,-0.07875965817974451,0.4999999999999971,0.6,0.14285714285714288,tilt,step,0.5,0.2
1,"(3, 4)","(2, 3)","(0, 3)",0.5,0.5,100.0,66.66666666666666,60.0,-0.008384695781673557,-0.0039466476983235355,0.005515339041166634,-0.03263727811123196,0.544393373756282,0.7714285714285715,-0.3714285714285715,tilt,step,0.5,0.3
2,"(3, 4)","(2, 3)","(0, 3)",0.5,0.5,100.0,66.66666666666666,60.0,0.010895303439117932,-0.017615691652498322,0.034230014778451195,-0.0859875254840543,0.5000000000000011,0.6,-0.2,tilt,step,0.5,0.3
